0,IA,CW
1,MT,MT
2,ED,ED
3,CE,PP
4,CE,CE
5,ED,ED
6,ED,ED
7,MT,MT
8,IA,CW
9,MC,EO
10,MT,MT
11,MC,IA
12,CE,CE
13,CW,CE
14,MT,MT
15,PP,CE
16,ED,ED
17,CW,CW
18,CE,CE
19,EO,EO
20,PP,MC
21,CE,CW
22,ED,ED
23,ED,ED
24,CE,EO
25,EO,IA
26,MC,MC
27,IA,IA
28,MC,CW
29,MT,MT
30,CE,CW
31,CE,CE
32,EO,CE
33,MC,CW
34,ED,ED
35,PP,PP
36,ED,ED
37,CE,PP
38,IA,IA
39,MT,MT
40,EO,CE
41,CW,CW
42,PP,PP
43,CW,CC
44,MT,MT
45,PP,PP
46,MC,PP
47,CC,CC
48,ED,ED
49,PP,PP
50,MT,CE
51,PP,ED
52,IA,CC
53,MT,CE
54,ED,CE
55,CE,CE
56,EO,EO
57,ED,CC
58,MC,MC
59,IA,CW
60,MC,CW
61,PP,CW
62,CW,CW
63,PP,EO
64,CC,IA
65,PP,EO
66,MT,MT
67,CC,CC
68,EO,EO
69,EO,EO
70,CW,CW
71,EO,IA
72,MT,MT
73,PP,EO
74,ED,CW
75,PP,CE
76,CW,CW
77,CE,CE
78,MT,MT
79,CE,CE
80,CE,CE
81,CW,CW
82,PP,CE
83,EO,EO
84,PP,PP
85,CW,MC
86,CE,CE
87,PP,PP
88,CE,CW
89,CW,CW
90,ED,CC
91,CW,EO
92,ED,ED
93,CW,CW
94,PP,CE
95,PP,CW
96,EO,EO
97,CW,CW
98,CW,CE
99,ED,ED
100,MC,MC
101,PP,CE
102,MC,MC
103,CE,CE
104,CW,CW
105,EO,IA
106,CE,CE
107,ED,ED
108,IA,MT
109,CC,ED
110,CC,CC
111,CC,ED
112,ED,ED
113,IA,IA
114,CW,CC
115,MT,MT
116,CW,CW
117,CC,IA
118,MC,CC
119,PP,MC
120,IA,CW
121,MT,MT
122,EO,IA
123,PP,MT
124,EO,EO
125,MC,MC
126,MC,EO
127,CW,CW
128,CW,MC
129,CW,CW
130,ED,ED
131,MT,EO
132,PP,PP
133,CW,CE
134,EO,CW
135,PP,MC
136,PP,CW
137,ED,ED
138,CE,EO
139,MT,PP
140,CW,CW
141,CW,CC
142,CE,CE
143,IA,ED
144,CW,CW
145,MC,MC
146,MC,MC
147,CE,CE
148,CW,CW
149,CE,CE
150,EO,CW
151,CW,EO
152,PP,MT
153,PP,IA
154,EO,EO
155,CE,EO
156,EO,CE
157,CW,CE
158,CC,CC
159,ED,ED
160,PP,EO
161,CW,CC
162,PP,CW
163,PP,PP
164,ED,ED
165,EO,EO
166,PP,PP
167,MT,MT
168,EO,EO
169,CC,CC
170,CC,CC
171,IA,IA
172,CE,EO
173,ED,IA
174,MC,CW
175,PP,MC
176,CE,CE
177,CW,IA
178,CW,CW
179,CC,CC
180,MC,MC
181,CE,CE
182,PP,MT
183,IA,IA
184,ED,ED
185,IA,MC
186,CC,EO
187,CE,CE
188,MT,MT
189,CE,CE
190,CE,CE
191,IA,ED
192,MC,CW
193,EO,CW
194,CE,CE
195,MC,IA
196,CW,IA
197,PP,IA
198,CC,CC
199,CW,CW
200,MT,MT
201,MT,MT
202,EO,EO
203,CE,CE
204,CW,CW
205,MC,PP
206,IA,CE
207,MC,CW
208,EO,CE
209,ED,ED
210,CE,PP
211,CW,CW
212,EO,CC
213,ED,ED
214,IA,CW
215,ED,ED
216,ED,ED
217,CC,CW
218,EO,EO
219,MC,MC
220,ED,ED
221,EO,EO
222,PP,PP
223,CE,CE
224,EO,EO
225,MC,EO
226,PP,CW
227,EO,EO
228,CW,IA
229,CW,CW
230,MC,EO
231,PP,MT
232,CE,CE
233,MT,MT
234,MC,MC
235,CE,EO
236,ED,ED
237,IA,IA
238,MT,MT
239,CW,ED
240,PP,ED
241,CW,CW
242,MT,MT
243,IA,MC
244,CW,CW
245,MC,MC
246,MC,CW
247,CW,MC
248,EO,CW
249,CW,EO
250,EO,EO
251,CW,CW
252,CE,CE
253,CE,CW
254,CE,CE
255,ED,CC
256,EO,EO
257,CW,CW
258,PP,IA
259,EO,EO
260,CW,ED
261,MC,MC
262,PP,PP
263,CE,IA
264,PP,PP
265,IA,IA
266,MT,MT
267,ED,ED
268,ED,ED
269,PP,EO
270,CW,CC
271,IA,PP
272,ED,ED
273,MC,CC
274,CW,CW
275,CE,CE
276,ED,ED
277,EO,PP
278,CE,CW
279,CE,CE
280,ED,ED
281,CE,CE
282,MT,EO
283,MC,CW
284,IA,ED
285,CW,CE
286,CW,CW
287,IA,CE
288,CW,CW
289,IA,CW
290,CW,EO
291,ED,CC
292,ED,ED
293,IA,PP
294,CE,CE
295,CE,CE
296,MC,IA
297,MC,MC
298,EO,EO
299,EO,PP
300,CW,CC
301,MC,MC
302,EO,EO
303,IA,CE
304,ED,ED
305,IA,MC
306,MC,IA
307,CE,MC
308,EO,EO
309,CC,EO
310,CW,CC
311,MT,MT
312,PP,PP
313,CW,EO
314,CW,MT
315,PP,MC
316,MC,MC
317,ED,ED
318,ED,ED
319,MC,PP
320,IA,ED
321,EO,EO
322,IA,CE
323,CW,CW
324,CW,CW
325,CE,CE
326,CW,CE
327,MC,MC
328,CE,CE
329,MC,PP
330,ED,ED
331,MC,MC
332,EO,EO
333,CE,CE
334,MT,MT
335,CW,PP
336,ED,ED
337,ED,CC
338,EO,CE
339,PP,ED
340,CE,CE
341,EO,EO
342,CE,CE
343,CE,MC
344,ED,ED
